Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - GBP,Flow
4/7/12,"5,684.47",-3.26,-0.06%,"5,687.73","5,669.73","5,699.85","445,463,392","215,350.00","925,383.00"
5/7/12,"5,692.63",+8.16,+0.14%,"5,684.47","5,662.48","5,727.45","766,719,300","352,083.00","1,277,466.00"
6/7/12,"5,662.63",-30.00,-0.53%,"5,692.63","5,647.47","5,695.06","602,831,993","269,421.00","1,008,045.00"
9/7/12,"5,627.33",-35.30,-0.62%,"5,662.63","5,610.71","5,669.75","682,352,469","295,390.00","712,655.00"
10/7/12,"5,664.07",+36.74,+0.65%,"5,627.33","5,622.29","5,688.66","607,970,066","301,103.00","1,013,758.00"
11/7/12,"5,664.48",+0.41,+0.01%,"5,664.07","5,625.60","5,674.65","606,668,932","292,851.00","1,306,609.00"
12/7/12,"5,608.25",-56.23,-0.99%,"5,664.48","5,588.84","5,664.48","667,049,243","330,184.00","976,425.00"
13/7/12,"5,666.13",+57.88,+1.03%,"5,608.25","5,608.25","5,675.62","609,268,468","281,160.00","1,257,585.00"
16/7/12,"5,662.43",-3.70,-0.07%,"5,666.13","5,640.88","5,670.60","569,289,760","253,974.00","1,003,611.00"
17/7/12,"5,629.09",-33.34,-0.59%,"5,662.43","5,621.19","5,676.47","602,763,103","291,155.00","712,456.00"
18/7/12,"5,685.77",+56.68,+1.01%,"5,629.09","5,624.54","5,688.29","669,962,424","307,413.00","1,019,869.00"
19/7/12,"5,714.19",+28.42,+0.50%,"5,685.77","5,685.77","5,718.61","711,475,115","306,492.00","1,326,361.00"
20/7/12,"5,651.77",-62.42,-1.09%,"5,714.19","5,644.93","5,714.19","961,834,462","436,393.00","889,968.00"
23/7/12,"5,533.87",-117.90,-2.09%,"5,651.77","5,510.92","5,651.77","691,607,186","301,025.00","588,943.00"
24/7/12,"5,499.23",-34.64,-0.63%,"5,533.87","5,486.99","5,556.63","551,196,844","250,008.00","338,935.00"
25/7/12,"5,498.32",-0.91,-0.02%,"5,499.23","5,478.02","5,526.09","621,394,795","291,582.00","47,353.00"
