trading_date,open_price,high_price,low_price,close_price
2014-11-12,2037.75,2040.33,2031.95,2038.25
2014-11-13,2039.21,2046.18,2030.44,2039.33
2014-11-14,2039.74,2042.22,2035.2,2039.82
2014-11-17,2038.29,2043.07,2034.46,2041.32
2014-11-18,2041.48,2056.08,2041.48,2051.8
2014-11-19,2051.16,2052.14,2040.37,2048.72
2014-11-20,2045.87,2053.84,2040.49,2052.75
2014-11-21,2057.46,2071.46,2056.75,2063.5
2014-11-24,2065.07,2070.17,2065.07,2069.41
2014-11-25,2070.15,2074.21,2064.75,2067.03
2014-11-26,2067.36,2073.29,2066.62,2072.83
2014-11-28,2074.78,2075.76,2065.06,2067.56
2014-12-01,2065.78,2065.78,2049.57,2053.44
2014-12-02,2053.77,2068.77,2053.77,2066.55
2014-12-03,2067.45,2076.28,2066.65,2074.33
2014-12-04,2073.64,2077.34,2062.34,2071.92
2014-12-05,2072.78,2079.47,2070.81,2075.37
2014-12-08,2074.84,2075.78,2054.27,2060.31
2014-12-09,2056.55,2060.6,2034.17,2059.82
2014-12-10,2058.86,2058.86,2024.26,2026.14
2014-12-11,2027.92,2055.53,2027.92,2035.33
2014-12-12,2030.36,2032.25,2002.33,2002.33
2014-12-15,2005.03,2018.69,1982.26,1989.63
2014-12-16,1986.71,2016.89,1972.56,1972.74
2014-12-17,1973.77,2016.75,1973.77,2012.89
2014-12-18,2018.98,2061.23,2018.98,2061.23
2014-12-19,2061.04,2077.85,2061.03,2070.65
2014-12-22,2069.28,2078.76,2069.28,2078.54
2014-12-23,2081.48,2086.73,2079.77,2082.17
2014-12-24,2083.25,2087.56,2081.86,2081.88
2014-12-26,2084.3,2092.7,2084.3,2088.77
2014-12-29,2087.63,2093.55,2085.75,2090.57
2014-12-30,2088.49,2088.49,2079.53,2080.35
2014-12-31,2082.11,2085.58,2057.94,2058.9
2015-01-02,2058.9,2072.36,2046.04,2058.2
2015-01-05,2054.44,2054.44,2017.34,2020.58
2015-01-06,2022.15,2030.25,1992.44,2002.61
2015-01-07,2005.55,2029.61,2005.55,2025.9
2015-01-08,2030.61,2064.08,2030.61,2062.14
2015-01-09,2063.45,2064.43,2038.33,2044.81
2015-01-12,2046.13,2049.3,2022.58,2028.26
2015-01-13,2031.58,2056.93,2008.25,2023.03
2015-01-14,2018.4,2018.4,1988.44,2011.27
2015-01-15,2013.75,2021.35,1991.47,1992.67
2015-01-16,1992.25,2020.46,1988.12,2019.42
2015-01-20,2020.76,2028.94,2004.49,2022.55
2015-01-21,2020.19,2038.29,2012.04,2032.12
2015-01-22,2034.3,2064.62,2026.38,2063.15
2015-01-23,2062.98,2062.98,2050.54,2051.82
2015-01-26,2050.42,2057.62,2040.97,2057.09
2015-01-27,2047.86,2047.86,2019.91,2029.55
2015-01-28,2032.34,2042.49,2001.49,2002.16
2015-01-29,2002.45,2024.64,1989.18,2021.25
2015-01-30,2019.35,2023.32,1993.38,1994.99
2015-02-02,1996.67,2021.66,1980.9,2020.85
2015-02-03,2022.71,2050.3,2022.71,2050.03
2015-02-04,2048.86,2054.74,2036.72,2041.51
2015-02-05,2043.45,2063.55,2043.45,2062.52
2015-02-06,2062.28,2072.4,2049.97,2055.47
2015-02-09,2053.47,2056.16,2041.88,2046.74
2015-02-10,2049.38,2070.86,2048.62,2068.59
2015-02-11,2068.55,2073.48,2057.99,2068.53
2015-02-12,2069.98,2088.53,2069.98,2088.48
2015-02-13,2088.78,2097.03,2086.7,2096.99
2015-02-17,2096.47,2101.3,2089.8,2100.34
2015-02-18,2099.16,2100.23,2092.15,2099.68
2015-02-19,2099.25,2102.13,2090.79,2097.45
2015-02-20,2097.65,2110.61,2085.44,2110.3
2015-02-23,2109.83,2110.05,2103.0,2109.66
2015-02-24,2109.1,2117.94,2105.87,2115.48
2015-02-25,2115.3,2119.59,2109.89,2113.86
2015-02-26,2113.91,2113.91,2103.76,2110.74
2015-02-27,2110.88,2112.74,2103.75,2104.5
2015-03-02,2105.23,2117.52,2104.5,2117.39
2015-03-03,2115.76,2115.76,2098.26,2107.78
2015-03-04,2107.72,2107.72,2087.62,2098.53
2015-03-05,2098.54,2104.25,2095.22,2101.04
2015-03-06,2100.91,2100.91,2067.27,2071.26
2015-03-09,2072.25,2083.49,2072.21,2079.43
2015-03-10,2076.14,2076.14,2044.16,2044.16
2015-03-11,2044.69,2050.08,2039.69,2040.24
2015-03-12,2041.1,2066.41,2041.1,2065.95
2015-03-13,2064.56,2064.56,2041.17,2053.4
2015-03-16,2055.35,2081.41,2055.35,2081.19
2015-03-17,2080.59,2080.59,2065.08,2074.28
2015-03-18,2072.84,2106.85,2061.23,2099.5
2015-03-19,2098.69,2098.69,2085.56,2089.27
2015-03-20,2090.32,2113.92,2090.32,2108.1
